jurisdiction,locality,race,reason_for_stop,action_taken,residency,year,total_count
ACCOMACK CO,Accomack County,AMERICAN INDIAN,CALLS FOR SERVICE,CITATION OR SUMMONS,NA,2020,1
ACCOMACK CO,Accomack County,AMERICAN INDIAN,EQUIPMENT VIOLATION,CITATION OR SUMMONS,RESIDENT OF JURISDICTION OF STOP,2021,1
ACCOMACK CO,Accomack County,AMERICAN INDIAN,EQUIPMENT VIOLATION,WARNING,NA,2020,1
ACCOMACK CO,Accomack County,AMERICAN INDIAN,TRAFFIC VIOLATION,CITATION OR SUMMONS,OTHER VIRGINIA JURISDICTION RESIDENT,2022,2
ACCOMACK CO,Accomack County,AMERICAN INDIAN,TRAFFIC VIOLATION,CITATION OR SUMMONS,OUT OF STATE RESIDENT,2021,1
ACCOMACK CO,Accomack County,AMERICAN INDIAN,TRAFFIC VIOLATION,CITATION OR SUMMONS,OUT OF STATE RESIDENT,2022,1
ACCOMACK CO,Accomack County,AMERICAN INDIAN,TRAFFIC VIOLATION,CITATION OR SUMMONS,NA,2020,7
ACCOMACK CO,Accomack County,AMERICAN INDIAN,TRAFFIC VIOLATION,CITATION OR SUMMONS,NA,2021,6
ACCOMACK CO,Accomack County,AMERICAN INDIAN,TRAFFIC VIOLATION,CITATION OR SUMMONS,NA,2022,1
ACCOMACK CO,Accomack County,AMERICAN INDIAN,TRAFFIC VIOLATION,WARNING,OTHER VIRGINIA JURISDICTION RESIDENT,2022,1
ACCOMACK CO,Accomack County,AMERICAN INDIAN,TRAFFIC VIOLATION,WARNING,OUT OF STATE RESIDENT,2021,1
ACCOMACK CO,Accomack County,AMERICAN INDIAN,TRAFFIC VIOLATION,WARNING,OUT OF STATE RESIDENT,2022,1
ACCOMACK CO,Accomack County,AMERICAN INDIAN,TRAFFIC VIOLATION,WARNING,NA,2020,2
ACCOMACK CO,Accomack County,AMERICAN INDIAN,TRAFFIC VIOLATION,WARNING,NA,2021,2
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,EQUIPMENT VIOLATION,CITATION OR SUMMONS,NA,2020,4
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,OTHER,WARNING,RESIDENT OF JURISDICTION OF STOP,2022,1
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,TRAFFIC VIOLATION,CITATION OR SUMMONS,OTHER VIRGINIA JURISDICTION RESIDENT,2021,4
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,TRAFFIC VIOLATION,CITATION OR SUMMONS,OTHER VIRGINIA JURISDICTION RESIDENT,2022,7
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,TRAFFIC VIOLATION,CITATION OR SUMMONS,OUT OF STATE RESIDENT,2021,12
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,TRAFFIC VIOLATION,CITATION OR SUMMONS,OUT OF STATE RESIDENT,2022,19
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,TRAFFIC VIOLATION,CITATION OR SUMMONS,RESIDENT OF JURISDICTION OF STOP,2021,1
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,TRAFFIC VIOLATION,CITATION OR SUMMONS,RESIDENT OF JURISDICTION OF STOP,2022,2
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,TRAFFIC VIOLATION,CITATION OR SUMMONS,UNKNOWN,2021,1
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,TRAFFIC VIOLATION,CITATION OR SUMMONS,NA,2020,26
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,TRAFFIC VIOLATION,CITATION OR SUMMONS,NA,2021,41
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,TRAFFIC VIOLATION,CITATION OR SUMMONS,NA,2022,14
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,TRAFFIC VIOLATION,MISSING,NA,2021,1
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,TRAFFIC VIOLATION,NO ENFORCEMENT ACTION,NA,2022,1
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,TRAFFIC VIOLATION,WARNING,OTHER VIRGINIA JURISDICTION RESIDENT,2021,1
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,TRAFFIC VIOLATION,WARNING,OTHER VIRGINIA JURISDICTION RESIDENT,2022,2
ACCOMACK CO,Accomack County,ASIAN OR PACIFIC ISLANDER,TRAFFIC VIOLATION,WARNING,OUT OF STATE RESIDENT,2021,5
